,Word,Frequency,Length
246,y,42,1
247,long,42,4
248,try,42,3
249,having,42,6
250,stuff,42,5
251,better,41,6
252,talk,40,4
253,x,40,1
254,person,40,6
255,heart,40,5
256,every,40,5
257,cool,40,4
258,may,39,3
259,dat,39,3
260,mind,39,4
261,car,39,3
262,eat,38,3
263,lar,38,3
264,th,38,2
265,best,38,4
266,stop,37,4
267,than,37,4
268,being,37,5
269,use,36,3
270,because,36,7
271,help,36,4
272,waiting,36,7
273,friend,36,6
274,yo,36,2
275,another,35,7
276,jus,35,3
277,problem,35,7
278,ready,35,5
279,birthday,35,8
280,big,35,3
281,house,35,5
282,dinner,35,6
283,liao,35,4
284,check,34,5
285,name,34,4
286,quite,34,5
287,shit,34,4
288,nothing,34,7
289,room,34,4
290,watching,34,8
291,might,34,5
292,lot,34,3
293,once,33,4
294,sweet,33,5
295,probably,33,8
296,early,33,5
297,watch,33,5
298,aight,33,5
299,sir,33,3
300,actually,32,8
301,called,32,6
302,guys,32,4
303,ever,32,4
304,special,32,7
305,thanx,32,5
306,hes,32,3
307,princess,32,8
308,bed,32,3
309,world,32,5
310,den,32,3
311,whats,32,5
312,plan,32,4
313,pa,32,2
314,two,31,3
315,dunno,31,5
316,guess,31,5
317,remember,31,8
318,god,31,3
319,forgot,31,6
320,kiss,31,4
321,pay,30,3
322,ah,30,2
323,bus,30,3
324,bad,30,3
326,boy,30,3
327,hour,30,4
328,shall,29,5
329,face,29,4
330,girl,29,4
331,left,29,4
332,shes,29,4
333,luv,29,3
334,hear,29,4
335,id,29,2
336,does,29,4
337,everything,29,10
338,enjoy,29,5
339,those,29,5
340,working,29,7
341,leh,29,3
342,maybe,29,5
343,fuck,28,4
344,dis,28,3
345,made,28,4
346,tmr,28,3
347,month,28,5
348,baby,28,4
349,days,28,4
350,start,28,5
351,without,28,7
352,trying,28,6
353,look,28,4
354,put,28,3
355,dad,28,3
356,wanna,28,5
357,says,27,4
358,school,27,6
359,nite,27,4
360,sat,27,3
361,little,27,6
362,wif,27,3
363,minutes,27,7
364,afternoon,27,9
365,thank,27,5
366,enough,27,6
367,anyway,27,6
368,okay,26,4
369,hav,26,3
370,wake,26,4
371,able,26,4
372,min,26,3
373,missing,26,7
374,abt,26,3
375,came,26,4
376,most,26,4
377,goes,26,4
378,means,26,5
379,end,26,3
380,reach,26,5
381,wanted,26,6
382,evening,26,7
383,though,26,6
384,bring,26,5
385,doesnt,26,6
386,times,25,5
387,plz,25,3
388,til,25,3
389,juz,25,3
390,theres,25,6
391,since,25,5
392,half,25,4
393,mail,24,4
394,real,24,4
395,while,24,5
396,hair,24,4
397,weekend,24,7
398,office,24,6
399,town,24,4
400,de,24,2
401,pm,24,2
402,guy,24,3
403,wen,24,3
404,pain,24,4
405,oso,23,3
406,ltdecimalgt,23,11
407,run,23,3
408,shopping,23,8
409,haf,23,3
410,speak,23,5
411,food,23,4
412,wife,23,4
413,else,23,4
414,lei,23,3
415,dude,23,4
416,wot,23,3
417,makes,23,5
418,making,23,6
419,alright,23,7
420,saw,23,3
421,st,23,2
422,fun,22,3
423,s,22,1
424,change,22,6
425,asked,22,5
426,test,22,4
427,true,22,4
428,must,22,4
429,until,22,5
430,tv,22,2
431,sch,22,3
432,worry,22,5
433,words,22,5
434,online,22,6
435,hurt,22,4
436,together,21,8
437,goin,21,4
438,missed,21,6
439,xxx,21,3
440,tot,21,3
441,away,21,4
442,family,21,6
443,full,21,4
444,sad,21,3
445,show,21,4
446,ard,21,3
447,friendship,21,10
448,yourself,21,8
449,years,21,5
450,part,21,4
451,between,21,7
452,till,21,4
453,account,20,7
454,wants,20,5
455,lose,20,4
456,play,20,4
457,mean,20,4
458,drive,20,5
459,happen,20,6
460,both,20,4
461,smiling,20,7
462,stay,20,4
463,yesterday,20,9
464,huh,20,3
465,story,20,5
466,beautiful,20,9
467,looking,20,7
468,driving,20,7
469,noe,20,3
470,saying,20,6
471,finished,19,8
472,feeling,19,7
473,rite,19,4
474,awesome,19,7
475,bored,19,5
476,took,19,4
477,coz,19,3
478,thinking,19,8
479,leaving,19,7
480,set,19,3
481,okie,19,4
482,aft,19,3
483,cause,18,5
484,brother,18,7
485,easy,18,4
486,wil,18,3
487,walk,18,4
488,old,18,3
489,angry,18,5
490,head,18,4
491,plus,18,4
492,movie,18,5
493,details,18,7
494,sms,18,3
495,bt,18,2
496,second,18,6
497,comes,18,5
498,neva,18,4
499,believe,18,7
500,busy,17,4
501,sleeping,17,8
502,tho,17,3
503,tomo,17,4
504,smoke,17,5
505,sis,17,3
506,simple,17,6
507,book,17,4
508,live,17,4
509,drink,17,5
510,knw,17,3
511,dreams,17,6
512,sister,17,6
513,lesson,17,6
514,isnt,17,4
515,lets,17,4
516,address,17,7
517,taking,17,6
518,email,17,5
519,started,17,7
520,trip,17,4
521,g,17,1
522,whatever,17,8
523,found,16,5
524,prob,16,4
525,parents,16,7
526,happened,16,8
527,hours,16,5
528,open,16,4
529,boytoy,16,6
530,wid,16,3
531,anyone,16,6
532,kind,16,4
533,ha,16,2
534,treat,16,5
535,drop,16,4
536,far,16,3
537,sun,16,3
538,touch,16,5
539,gd,16,2
540,everyone,16,8
541,these,16,5
542,decided,16,7
543,forget,16,6
544,smth,16,4
545,mine,16,4
546,search,15,6
547,college,15,7
548,oredi,15,5
549,bday,15,4
550,needs,15,5
551,wit,15,3
552,hand,15,4
553,question,15,8
554,lots,15,4
555,carlos,15,6
556,type,15,4
557,pretty,15,6
558,gone,15,4
559,outside,15,7
560,loving,15,6
561,lovely,15,6
562,pub,15,3
563,ring,15,4
564,o,15,1
565,mobile,15,6
566,light,15,5
567,mum,15,3
568,nope,15,4
569,wonderful,15,9
570,company,15,7
571,sea,15,3
572,sounds,15,6
573,fucking,15,7
574,fast,14,4
575,project,14,7
576,mrng,14,4
577,whole,14,5
578,alone,14,5
579,mu,14,2
580,w,14,1
581,post,14,4
582,wrong,14,5
583,read,14,4
584,course,14,6
585,calling,14,7
586,finally,14,7
587,party,14,5
588,friday,14,6
589,mate,14,4
590,frnds,14,5
591,ы,14,1
592,chat,14,4
593,important,14,9
594,goodmorning,14,11
595,seeing,14,6
596,eve,14,3
597,case,14,4
598,meant,14,5
599,close,14,5
600,darlin,14,6
601,hold,14,4
602,nt,14,2
603,used,14,4
604,answer,14,6
605,telling,14,7
606,reason,14,6
607,snow,14,4
608,card,13,4
609,fri,13,3
610,break,13,5
611,earlier,13,7
612,least,13,5
613,youll,13,5
614,chennai,13,7
615,happiness,13,9
616,hard,13,4
617,wats,13,4
618,per,13,3
619,their,13,5
620,mayb,13,4
621,available,13,9
622,point,13,5
623,yar,13,3
624,ass,13,3
625,bslvyl,13,6
626,fr,13,2
627,wasnt,13,5
628,hee,13,3
629,cut,13,3
630,gas,13,3
631,txt,13,3
632,reading,13,7
633,mah,13,3
634,xmas,13,4
635,almost,13,6
636,dnt,13,3
637,bout,13,4
638,ten,13,3
639,side,13,4
640,shop,13,4
641,talking,13,7
642,march,13,5
643,felt,13,4
644,picking,12,7
645,semester,12,8
646,tired,12,5
647,swing,12,5
648,father,12,6
649,blue,12,4
650,tel,12,3
651,takes,12,5
652,ni,12,2
653,darren,12,6
654,sexy,12,4
655,contact,12,7
656,laptop,12,6
657,word,12,4
658,mins,12,4
659,game,12,4
660,ugh,12,3
661,hell,12,4
662,grins,12,5
663,gr,12,2
664,either,12,6
665,bank,12,4
666,couple,12,6
667,minute,12,6
668,chikku,12,6
669,ago,12,3
670,ish,12,3
671,listen,12,6
672,chance,12,6
673,through,12,7
674,difficult,12,9
675,john,12,4
676,knew,12,4
677,gym,12,3
678,supposed,12,8
679,die,12,3
680,seen,12,4
681,holiday,12,7
682,cash,12,4
683,hungry,12,6
684,nd,12,2
685,eh,12,2
686,uncle,12,5
687,mom,12,3
688,calls,12,5
689,gotta,12,5
690,askd,12,4
691,wine,11,4
692,abiola,11,6
693,wonder,11,6
694,whenever,11,8
695,plans,11,5
696,loved,11,5
697,park,11,4
698,checking,11,8
699,feels,11,5
700,safe,11,4
701,bath,11,4
702,paper,11,5
703,christmas,11,9
704,girls,11,5
705,gets,11,4
706,comin,11,5
707,slowly,11,6
708,move,11,4
709,lost,11,4
710,wana,11,4
711,crave,11,5
712,truth,11,5
713,muz,11,3
714,shower,11,6
715,exam,11,4
716,hmm,11,3
717,lovable,11,7
718,small,11,5
719,don,11,3
720,frm,11,3
721,jay,11,3
722,orchard,11,7
723,asking,11,6
724,win,11,3
725,rs,11,2
726,kate,11,4
727,usf,11,3
728,join,11,4
729,hit,11,3
730,gal,10,3
731,write,10,5
732,mr,10,2
733,leaves,10,6
734,drugs,10,5
735,slow,10,4
736,rd,10,2
737,monday,10,6
738,nah,10,3
739,m,10,1
740,myself,10,6
741,whos,10,4
742,re,10,2
743,youve,10,5
744,own,10,3
745,rock,10,4
746,gave,10,4
747,loads,10,5
748,police,10,6
749,india,10,5
750,bcoz,10,4
751,hrs,10,3
752,press,10,5
753,charge,10,6
754,understand,10,10
755,callertune,10,10
756,kids,10,4
757,poor,10,4
758,download,10,8
759,different,10,9
760,wishing,10,7
761,sort,10,4
762,sound,10,5
763,na,10,2
764,months,10,6
765,bathe,10,5
766,deep,10,4
767,voice,10,5
768,otherwise,10,9
769,hospital,10,8
770,mm,10,2
771,doin,10,4
772,stupid,10,6
773,yep,10,3
774,wow,10,3
775,frnd,10,4
776,water,10,5
777,less,10,4
778,ex,10,2
779,booked,10,6
780,cost,10,4
781,hoping,10,6
782,reached,10,7
783,spend,10,5
784,crazy,10,5
785,oops,10,4
786,woke,10,4
787,empty,10,5
788,moment,10,6
789,somewhere,10,9
790,ure,10,3
791,sell,10,4
792,sending,10,7
793,across,10,6
794,confirm,10,7
795,figure,10,6
796,seriously,9,9
797,near,9,4
798,others,9,6
799,thinkin,9,7
800,wondering,9,9
801,laugh,9,5
802,colleagues,9,10
803,itself,9,6
804,ыт,9,2
805,mode,9,4
806,decide,9,6
807,tampa,9,5
808,catch,9,5
809,merry,9,5
810,messages,9,8
811,short,9,5
812,song,9,4
813,rain,9,4
814,convey,9,6
815,lazy,9,4
816,doctor,9,6
817,silent,9,6
818,date,9,4
819,aint,9,4
820,bold,9,4
821,noon,9,4
822,fact,9,4
823,train,9,5
824,xy,9,2
825,promise,9,7
826,lessons,9,7
827,via,9,3
828,frens,9,5
829,urself,9,6
830,copy,9,4
831,cum,9,3
832,texts,9,5
833,tht,9,3
834,moms,9,4
835,rent,9,4
836,met,9,3
837,mrt,9,3
838,ho,9,2
839,seems,9,5
840,sick,9,4
841,glad,9,4
842,sitting,9,7
843,wed,9,3
844,buying,9,6
845,study,9,5
846,worries,9,7
847,boss,9,4
848,situation,9,9
849,lect,9,4
850,worried,9,7
851,accept,9,6
852,each,9,4
853,support,9,7
854,lucky,9,5
855,hiya,9,4
856,gods,9,4
857,against,9,7
858,fone,9,4
859,hmmm,9,4
860,meh,9,3
861,forever,9,7
862,somebody,9,8
863,unless,9,6
864,knows,9,5
865,staying,9,7
866,em,9,2
867,joys,9,4
868,rest,9,4
869,trust,9,5
870,eyes,9,4
871,studying,9,8
872,disturb,9,7
873,especially,9,10
874,saturday,9,8
875,customer,9,8
876,reaching,9,8
877,training,8,8
878,brings,8,6
879,valentine,8,9
880,slept,8,5
881,heard,8,5
882,medical,8,7
883,ends,8,4
884,possible,8,8
885,gettin,8,6
886,fingers,8,7
887,mo,8,2
888,pizza,8,5
889,none,8,4
890,power,8,5
891,opinion,8,7
892,gt,8,2
893,rose,8,4
894,lemme,8,5
895,planning,8,8
896,spent,8,5
897,road,8,4
898,correct,8,7
899,south,8,5
900,todays,8,6
901,trouble,8,7
902,nigeria,8,7
903,yours,8,5
904,il,8,2
905,daddy,8,5
906,normal,8,6
907,pete,8,4
908,nyt,8,3
909,facebook,8,8
910,congrats,8,8
911,workin,8,6
912,weed,8,4
913,hurts,8,5
914,sunday,8,6
915,warm,8,4
916,goodnight,8,9
917,cheers,8,6
918,wednesday,8,9
919,mark,8,4
920,movies,8,6
921,loves,8,5
922,cover,8,5
923,visit,8,5
924,tuesday,8,7
925,pray,8,4
926,apartment,8,9
927,longer,8,6
928,funny,8,5
929,dead,8,4
930,sometimes,8,9
931,sofa,8,4
932,din,8,3
933,youd,8,4
934,ones,8,4
935,style,8,5
936,wheres,8,6
937,nobody,8,6
938,aha,8,3
939,film,8,4
940,library,8,7
941,deal,8,4
942,add,8,3
943,completely,8,10
944,hr,8,2
945,anymore,8,7
946,kinda,8,5
947,bb,8,2
948,omg,8,3
949,invited,8,7
950,wishes,8,6
951,tonite,8,6
952,mon,8,3
953,mood,8,4
954,quick,8,5
955,bak,8,3
956,slave,8,5
957,dream,7,5
958,save,7,4
959,showing,7,7
960,holla,7,5
961,usual,7,5
962,wun,7,3
963,complete,7,8
964,walking,7,7
965,using,7,5
966,request,7,7
967,tickets,7,7
968,la,7,2
969,yest,7,4
970,malaria,7,7
971,tear,7,4
972,bugis,7,5
973,holding,7,7
974,however,7,7
975,hot,7,3
976,tough,7,5
977,single,7,6
978,eatin,7,5
979,fat,7,3
980,bother,7,6
981,thru,7,4
982,offer,7,5
983,paying,7,6
984,share,7,5
985,forward,7,7
986,energy,7,6
987,air,7,3
988,giving,7,6
989,ice,7,3
990,experience,7,10
991,depends,7,7
992,weight,7,6
993,excellent,7,9
994,ahead,7,5
995,planned,7,7
996,heavy,7,5
997,honey,7,5
998,lift,7,4
999,yoga,7,4
1000,price,7,5
1001,worse,7,5
1002,kb,7,2
1003,xx,7,2
1004,cell,7,4
1005,msgs,7,4
1006,under,7,5
1007,pics,7,4
1008,cine,7,4
1009,net,7,3
1010,towards,7,7
1011,happens,7,7
1012,order,7,5
1013,players,7,7
1014,news,7,4
1015,lover,7,5
1016,rather,7,6
1017,dog,7,3
1018,hw,7,2
1019,umma,7,4
1020,wk,7,2
1021,ar,7,2
1022,buzz,7,4
1023,murdered,7,8
1024,present,7,7
1025,miracle,7,7
1026,appreciate,7,10
1027,vl,7,2
1028,excuse,7,6
1029,coffee,7,6
1030,cuz,7,3
1031,shuhui,7,6
1032,thnk,7,4
1033,choose,7,6
1034,sense,7,5
1035,interested,7,10
1036,idea,7,4
1037,liked,7,5
1038,men,7,3
1039,shd,7,3
1040,torch,7,5
1041,omw,7,3
1042,past,7,4
1043,persons,7,7
1044,imma,7,4
1045,lttimegt,7,8
1046,round,7,5
1047,looks,7,5
1048,bill,7,4
1049,cute,7,4
1050,valentines,7,10
1051,sucks,7,5
1052,gift,7,4
1053,stand,7,5
1054,surprise,7,8
1055,sit,7,3
1056,hop,7,3
1057,insurance,7,9
1058,ge,7,2
1059,list,7,4
1060,naughty,7,7
1061,pleasure,7,8
1062,imagine,7,7
1063,door,7,4
1064,computer,7,8
1065,arent,7,5
1066,clean,7,5
1067,housemaid,7,9
1068,hai,7,3
1069,theyre,7,6
1070,murderer,7,8
1071,waste,7,5
1072,izzit,7,5
1073,awake,7,5
1074,during,7,6
1075,happening,7,9
1076,battery,7,7
1077,alex,7,4
1078,inside,7,6
1079,line,7,4
1080,eating,7,6
1081,instead,7,7
1082,log,7,3
1083,al,7,2
1084,sight,7,5
1085,bucks,7,5
1086,luck,7,4
1087,self,6,4
1088,plenty,6,6
1089,vikky,6,5
1090,pass,6,4
1091,january,6,7
1092,evng,6,4
1093,expensive,6,9
1094,remove,6,6
1095,directly,6,8
1096,yay,6,3
1097,campus,6,6
1098,nxt,6,3
1099,return,6,6
1100,aftr,6,4
1101,lmao,6,4
1102,tea,6,3
1103,keeping,6,7
1104,behind,6,6
1105,report,6,6
1106,nature,6,6
1107,children,6,8
1108,wer,6,3
1109,p,6,1
1110,wiv,6,3
1111,tat,6,3
1112,group,6,5
1113,gap,6,3
1114,j,6,1
1115,yijue,6,5
1116,num,6,3
1117,character,6,9
1118,lady,6,4
1119,ki,6,2
1120,track,6,5
1121,posted,6,6
1122,fetch,6,5
1123,questions,6,9
1124,ull,6,3
1125,checked,6,7
1126,role,6,4
1127,loverboy,6,8
1128,ticket,6,6
1129,exactly,6,7
1130,askin,6,5
1131,cold,6,4
1132,sign,6,4
1133,lt,6,2
1134,menu,6,4
1135,meds,6,4
1136,fyi,6,3
1137,howz,6,4
1138,screaming,6,9
1139,lr,6,2
1140,internet,6,8
1141,students,6,8
1142,raining,6,7
1143,mistake,6,7
1144,fault,6,5
1145,etc,6,3
1146,childish,6,8
1147,budget,6,6
1148,top,6,3
1149,yahoo,6,5
1150,midnight,6,8
1151,weather,6,7
1152,pilates,6,7
1153,teasing,6,7
1154,aiyo,6,4
1155,dint,6,4
1156,aiyah,6,5
1157,tick,6,4
1158,sup,6,3
1159,within,6,6
1160,surely,6,6
1161,theatre,6,7
1162,bedroom,6,7
1163,teach,6,5
1164,barely,6,6
1165,page,6,4
1166,problems,6,8
1167,cal,6,3
1168,pussy,6,5
1169,paid,6,4
1170,marriage,6,8
1171,version,6,7
1172,weeks,6,5
1173,putting,6,7
1174,scream,6,6
1175,naked,6,5
1176,ans,6,3
1177,donычt,6,6
1178,regards,6,7
1179,kallis,6,6
1180,street,6,6
1181,advance,6,7
1182,marry,6,5
1183,fullonsmscom,6,12
1184,melle,6,5
1185,shell,6,5
1186,murder,6,6
1187,works,6,5
1188,hurry,6,5
1189,fixed,6,5
1190,wnt,6,3
1191,cheap,6,5
1192,meaning,6,7
1193,serious,6,7
1194,vry,6,3
1195,changed,6,7
1196,dai,6,3
1197,wherever,6,8
1198,usually,6,7
1199,alrite,6,6
1200,mei,6,3
1201,cancer,6,6
1202,joking,6,6
1203,ahmad,6,5
1204,ate,6,3
1205,damn,6,4
1206,system,6,6
1207,ended,6,5
1208,relax,6,5
1209,yrs,6,3
1210,ttyl,6,4
1211,spoke,6,5
1212,sim,6,3
1213,sunny,6,5
1214,turns,6,5
1215,boo,6,3
1216,model,6,5
1217,fb,6,2
1218,basically,5,9
1219,roommates,5,9
1220,exams,5,5
1221,yan,5,3
1222,wouldnt,5,7
1223,asleep,5,6
1224,starts,5,6
1225,flat,5,4
1226,feb,5,3
1227,extra,5,5
1228,interesting,5,11
1229,broke,5,5
1230,uni,5,3
1231,nw,5,2
1232,secret,5,6
1233,asks,5,4
1234,black,5,5
1235,ride,5,4
1236,lik,5,3
1237,italian,5,7
1238,pic,5,3
1239,frndship,5,8
1240,area,5,4
1241,common,5,6
1242,willing,5,7
1243,jiu,5,3
1244,pictures,5,8
1245,guide,5,5
1246,donехt,5,6
1247,quality,5,7
1248,cafe,5,4
1249,body,5,4
1250,pin,5,3
1251,april,5,5
1252,geeee,5,5
1253,credit,5,6
1254,amt,5,3
1255,hv,5,2
1256,fighting,5,8
1257,sighs,5,5
1258,chinese,5,7
1259,didt,5,4
1260,relation,5,8
1261,learn,5,5
1262,cbe,5,3
1263,sec,5,3
1264,gives,5,5
1265,hostel,5,6
1266,rem,5,3
1267,ll,5,2
1268,horrible,5,8
1269,pple,5,4
1270,moon,5,4
1271,station,5,7
1272,gee,5,3
1273,si,5,2
1274,weak,5,4
1275,replied,5,7
1276,receive,5,7
1277,hopefully,5,9
1278,tyler,5,5
1279,texting,5,7
1280,intro,5,5
1281,dollars,5,7
1282,arrested,5,8
1283,cars,5,4
1284,yogasana,5,8
1285,gentle,5,6
1286,lead,5,4
1287,stock,5,5
1288,discuss,5,7
1289,starting,5,8
1290,mrw,5,3
1291,matter,5,6
1292,created,5,7
1293,urgnt,5,5
1294,iычm,5,4
1295,fix,5,3
1296,smiles,5,6
1297,lookin,5,6
1298,playing,5,7
1299,mother,5,6
1300,buns,5,4
1301,random,5,6
1302,sum,5,3
1303,rays,5,4
1304,loan,5,4
1305,armand,5,6
1306,bf,5,2
1307,fancy,5,5
1308,iam,5,3
1309,earth,5,5
1310,pissed,5,6
1311,cinema,5,6
1312,ym,5,2
1313,white,5,5
1314,ru,5,2
1315,drug,5,4
1316,social,5,6
1317,remind,5,6
1318,kick,5,4
1319,argument,5,8
1320,ran,5,3
1321,couldnt,5,7
1322,scared,5,6
1323,ave,5,3
1324,tis,5,3
1325,boston,5,6
1326,tried,5,5
1327,jokes,5,5
1328,nvm,5,3
1329,match,5,5
1330,cannot,5,6
1331,forwarded,5,9
1332,searching,5,9
1333,transaction,5,11
1334,space,5,5
1335,moral,5,5
1336,whether,5,7
1337,draw,5,4
1338,jazz,5,4
1339,obviously,5,9
1340,boost,5,5
1341,cartoon,5,7
1342,cabin,5,5
1343,hate,5,4
1344,died,5,4
1345,entered,5,7
1346,bag,5,3
1347,somethin,5,8
1348,realy,5,5
1349,stopped,5,7
1350,thursday,5,8
1351,indian,5,6
1352,mid,5,3
1353,age,5,3
1354,moan,5,4
1355,hook,5,4
1356,callers,5,7
1357,hotel,5,5
1358,shows,5,5
1359,married,5,7
1360,deliver,5,7
1361,dropped,5,7
1362,google,5,6
1363,belly,5,5
1364,expecting,5,9
1365,timing,5,6
1366,shouldnt,5,8
1367,twice,5,5
1368,miles,5,5
1369,returns,5,7
1370,site,5,4
1371,definitely,5,10
1372,joke,5,4
1373,advice,5,6
1374,amount,5,6
1375,sed,5,3
1376,minuts,5,6
1377,immediately,5,11
1378,latr,5,4
1379,dey,5,3
1380,caken,5,5
1381,ad,5,2
1382,vomit,5,5
1383,except,5,6
1384,boring,5,6
1385,collect,5,7
1386,hasnt,5,5
1387,centre,5,6
1388,stylish,5,7
1389,box,5,3
1390,kerala,5,6
1391,rply,5,4
1392,become,5,6
1393,update,5,6
1394,wear,5,4
1395,jesus,5,5
1396,photos,5,6
1397,running,5,7
1398,surfing,5,7
1399,waking,5,6
1400,fall,5,4
1401,er,5,2
1402,places,5,6
1403,yun,5,3
1404,anybody,5,7
1405,looked,5,6
1406,recently,5,8
1407,cry,5,3
1408,english,5,7
1409,double,5,6
1410,law,5,3
1411,plane,5,5
1412,closedincluding,4,15
1413,king,4,4
1414,tm,4,2
1415,oru,4,3
1416,reasons,4,7
1417,drivin,4,6
1418,meetin,4,6
1419,bye,4,3
1420,explain,4,7
1421,weird,4,5
1422,result,4,6
1423,height,4,6
1424,intelligent,4,11
1425,envelope,4,8
1426,abi,4,3
1427,woman,4,5
1428,prepare,4,7
1429,apparently,4,10
1430,oni,4,3
1431,hella,4,5
1432,public,4,6
1433,bet,4,3
1434,anytime,4,7
1435,spoken,4,6
1436,gals,4,4
1437,assume,4,6
1438,lives,4,5
1439,church,4,6
1440,wearing,4,7
1441,temple,4,6
1442,govtinstituitions,4,17
1443,weve,4,4
1444,aiyar,4,5
1445,listening,4,9
1446,jada,4,4
1447,bud,4,3
1448,confidence,4,10
1449,carefully,4,9
1450,gravity,4,7
1451,btw,4,3
1452,fever,4,5
1453,numbers,4,7
1454,acc,4,3
1455,three,4,5
1456,diet,4,4
1457,dry,4,3
1458,attend,4,6
1459,ma,4,2
1460,registered,4,10
1461,photo,4,5
1462,note,4,4
1463,addicted,4,8
1464,grl,4,3
1465,losing,4,6
1466,pig,4,3
1467,bowl,4,4
1468,spl,4,3
1469,matured,4,7
1470,sore,4,4
1471,throat,4,6
1472,salary,4,6
1473,egg,4,3
1474,lecture,4,7
1475,raise,4,5
1476,iz,4,2
1477,hill,4,4
1478,passionate,4,10
1479,handle,4,6
1480,decision,4,8
1481,quote,4,5
1482,fool,4,4
1483,cup,4,3
1484,iычll,4,5
1485,smokes,4,6
1486,grand,4,5
1487,pie,4,3
1488,mums,4,4
1489,dem,4,3
1490,fight,4,5
1491,clock,4,5
1492,answers,4,7
1493,appt,4,4
1494,colour,4,6
1495,hands,4,5
1496,dictionary,4,10
1497,often,4,5
1498,dare,4,4
1499,future,4,6
1500,uncles,4,6
1501,celebrate,4,9
1502,ache,4,4
1503,green,4,5
1504,derek,4,5
1505,vijay,4,5
1506,sooner,4,6
1507,due,4,3
1508,essential,4,9
1509,bitch,4,5
