Sentence,Length
u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,141
what you thinked about me first time you saw me in class,56
a gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt,113
k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,79
wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,275
do you know what mallika sherawat did yesterday find out now   lturlgt,70
sorry ill call later in meeting,31
tell where you reached,22
yesgauti and sehwag out of odi series,37
your gonna have to pick up a  burger for yourself on your way home i cant even move pain is killing me,102
ha ha ha good joke girls are situation seekers,46
its a part of checking iq,25
sorry my roommates took forever it ok if i come by now,54
ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,108
today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,114
i plane to give on this month end,33
wah lucky man then can save money hee,37
finished class where are you,28
hi babe im at home now wanna do something xx,44
kkwhere are youhow did you performed,36
u can call me now,17
i am waiting machan call me once you free,41
thats cool i am a gentleman and will treat you with dignity and respect,71
i like you peoples very much but am very shy pa,47
does not operate after  ltgt  or what,37
its not the same here still looking for a job how much do tas earn there,72
sorry ill call later,20
k did you call me just now ah ,30
ok i am on the way to home hi hi,32
you will be in the place of that man,36
yup next stop,13
i call you later dont have network if urgnt sms me,50
for real when u getting on yo i only need  more tickets and one more jacket and im done i already used all my multis,116
yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,140
im really not up to it still tonight babe,41
ela kanoil download come wen ur free,36
yeah do donычt stand to close tho youычll catch something,57
sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that sorry ,188
smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,138
havent planning to buy later i check already lido only got  show in e afternoon u finish work already,101
watching telugu moviewat abt u,30
i see when we finish we have loads of loans to pay,50
hi wk been ok  on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for uham,174
please dont text me anymore i have nothing else to say,54
okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,79
im still looking for a car to buy and have not gone the driving test yet,72
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press  to copy your friends callertune,153
wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,175
umma my life and vava umma love you lot dear,44
thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,93
aight ill hit you up when i get some cash,41
how would my ip address test that considering my computer isnt a minecraft server,81
i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,109
dont worry i guess hes busy,27
what is the plural of the noun research,39
going for dinnermsg you after,29
im ok wif it cos i like  try new things but i scared u dun like mah cos u said not too loud,91
wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened,128
as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there,142
goodo yes we must speak friday  eggpotato ratio for tortilla needed ,68
hmmmy uncle just informed me that hes paying the school directly so pls buy food,80
here is my new address applespairsall that malarky,50
i am going to sao mu today will be done only at  ,49
мп predict wat time мll finish buying,37
good stuff will do,18
just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise,235
are you there in room,21
hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,103
kkhow much does it cost,23
im home,7
dear will call tmorrowpls accomodate,36
first answer my question,24
i only haf msn its yijuehotmailcom,34
he is there you call and meet him,33
no no i will check all rooms befor activities,45
got c i lazy to type i forgot м in lect i saw a pouch but like not v nice,73
k text me when youre on the way,31
sir waiting for your mail,25
a swt thought nver get tired of doing little things  lovable persons cozsomtimes those little things occupy d biggest part in their hearts gud ni,145
i know you are can you pls open the back,40
yes see ya not on the dot,25
whats the staff name who is taking class for us,47
ummmawill call after check inour life will begin from qatar so pls pray very hard,81
ki deleted my contact that why,30
sindu got job in birla soft ,28
the wine is flowing and im i have nevering,42
yup i thk cine is better cos no need  go down  plaza mah,56
ok ur typical reply,19
as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press  to copy your friends callertune,153
you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows ill see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,368
aaooooright are you at work,27
im leaving my house now,23
hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of meare you missing me ,149
keep yourself safe for me because i need you and i miss you already and i envy everyone that sees you in real life,114
new car and house for my parentsi have only new job in hand,59
im so in love with you im excited each day i spend with you you make me so happy,80
i place all ur points on e cultures module already,50
hi frnd which is best way to avoid missunderstding wit our beloved ones,71
great escape i fancy the bridge but needs her lager see you tomo ,65
yes it completely in out of formclark also utter waste,54
sir i need axis bank account no and bank address,48
hmmm thk sure got time to hop ard ya can go  free abt muz call u to discuss liao ,81
what time you coming down later ,32
bloody hell cant believe you forgot my surname mr  ill give u a clue its spanish and begins with m ,99
well im gonna finish my bath now have a goodfine night,54
let me know when youve got the money so carlos can make the call,64
u still going to the mall,25
turns out my friends are staying for the whole show and wont be back til  ltgt  so feel free to go ahead and smoke that  ltgt  worth,132
text her if she doesnt reply let me know so i can have her log in,65
hi you just spoke to maneesha v wed like to know if you were satisfied with the experience reply toll free with yes or no,121
you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend,155
lol no u can trust me,21
ok i am a gentleman and will treat you with dignity and respect,63
he will you guys close,22
going on nothing greatbye,25
hello handsome  are you finding that job  not being lazy  working towards getting back that net for mummy  wheres my boytoy now  does he miss me ,145
haha awesome be there in a minute,33
have you got xmas radio times if not i will get it now,54
i jus reached home i go bathe first but my sis using net tell u when she finishes k,83
im sorry ive joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week,177
hi finally i completed the course,33
it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool,109
how are you doing hope youve settled in for the new school year just wishin you a gr day,88
gud mrng dear hav a nice day,28
did u got that persons story,28
is your hamster dead hey so tmr i meet you at pm orchard mrt ,61
hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can  xxx,126
found it enc  ltgt  where you at,32
i sent you  ltgt  bucks,23
hello darlin ive finished college now so txt me when u finish if u can love kate xxx,84
your account has been refilled successfully by inr  ltdecimalgt  your keralacircle prepaid account balance is rs  ltdecimalgt  your transaction id is kr ltgt ,158
goodmorning sleeping ga,23
u call me alter at  ok,22
мп say until like dat i dun buy ericsson oso cannot oredi lar,61
as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there,142
aight yo dats straight dogg,27
you please give us connection today itself before  ltdecimalgt  or refund the bill,82
both  i shoot big loads so get ready,36
whats up bruv hope you had a great break do have a rewarding semester,69
home so we can always chat,26
kkgoodstudy well,16
yup how м noe leh,17
sounds great are you home now,29
finally the match heading towards draw as your prediction,57
tired i havent slept well the past few nights,45
easy ahsen got selected means its good,38
i have to take exam with march ,31
yeah you should i think you can use your gt atm now to register not sure but if theres anyway i can help let me know but when you do be sure you are ready,154
ok no prob take ur time,23
there is os called ubandu which will run without installing in hard diskyou can use that os to copy the important files in system and give it to repair shop,156
sorry ill call later,20
u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh,113
would really appreciate if you call me just need someone to talk to,67
hey company elama po mudyadhu,29
life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning  ,153
dear good morning now only i am up,34
get down in gandhipuram and walk to cross cut road right side ltgt street road and turn at first right,102
dear we are going to our rubber place,37
sorry battery died yeah im here,31
yeshere tv is always available in work place,44
i have printed it oh so  ltgt  come upstairs,44
or ill be a little closer like at the bus stop on the same street,65
where are youwhen wil you reach here,36
new theory argument wins d situation but loses the person so dont argue with ur friends just    kick them amp say im always correct,131
tomarrow final hearing on my laptop case so i cant,50
pleassssssseeeeee tel me v avent done sportsx,45
okay no no just shining on that was meant to be signing but that sounds better,78
although i told u dat im into baig face watches now but i really like e watch u gave cos its fr u thanx  everything dat uve done today im touched,145
u dont remember that old commercial,35
too late i said i have the website i didnt i have or dont have the slippers,75
i asked you to call him now ok,30
kallis wont bat in nd innings,29
it didnt work again oh ok goodnight then ill fix and have it ready by the time you wake up you are very dearly missed have a good night sleep,141
ranjith cal drpd deeraj and deepak min hold,43
wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,168
what you doinghow are you,25
ups which is days also and the shipping company that takes wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff,174
im back lemme know when youre ready,35
dont necessarily expect it to be done before you get back though because im just now headin out,95
mmm so yummy babe  nice jolt to the suzy,40
where are you lover  i need you ,32
iычm parked next to a mini when are you coming in today do you think,68
yup,3
anyway im going shopping on my own now cos my sis not done yet dun disturb u liao,81
my no in luton  ring me if ur around h,38
why you dint come with us,25
same wana plan a trip sometme then,34
not sure yet still trying to get a hold of him,46
the evo i just had to download flash jealous,44
come to mu were sorting out our narcotics situation,51
night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay,144
usf i guess might as well take  car,35
no objection my bf not coming,29
thanx,5
tell rob to mack his gf in the theater,38
awesome ill see you in a bit,28
just sent it so what type of food do you like,45
all done all handed in celebrations in full swing yet,53
you got called a tool,21
wen u miss someone,18
ok i asked for money how far,28
okie,4
yeah i think my usual guys still passed out from last night if you get ahold of anybody let me know and ill throw down,118
k i might come by tonight then if my class lets out early,57
ok,2
hi baby im cruisin with my girl friend what r u up  give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,146
my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge,146
dearshall mail tonitebusy in the streetshall update you tonitethings are looking okvarunnathu edukkukayee raksha ollubut a good one in real sense,145
hey you told your name to gautham ah,36
haf u found him i feel so stupid da v cam was working,53
oops  got that bit,18
are you this much buzy,22
i accidentally deleted the message resend please,48
unless its a situation where you go gurl would be more appropriate,66
hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl,142
i cant pick the phone right now pls send a message,50
need a coffee run tomocant believe its that time of week already,64
awesome i remember the last time we got somebody high for the first time with diesel v,86
shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi,152
oh and by the way you do have more food in your fridge want to go out for a meal tonight ,89
he is a womdarfull actor,24
yup from what i remb i think should be can book ,48
jos ask if u wana meet up,25
lol yes our friendship is hanging on a thread cause u wont buy stuff,68
where are the garage keys they arent on the bookshelf,53
today is accept dayu accept me as brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,150
he says hell give me a call when his friends got the money but that hes definitely buying before the end of the week,116
hi the way i was with u day is the normal waythis is the real me ur uniquei hope i know u  the rest of mylife hope u find wot was lost,134
you made my day do have a great day too,39
kkadvance happy pongal,22
hmmm guess we can go  kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao,104
not really dude have no friends im afraid ,42
coffee cake i guess,19
merry christmas to you too babe i love ya kisses,48
hey why dont we just go watch x men and have lunch haha ,56
cud u tell ppl im gona b a bit l cos  buses hav gon past cos they were full  im still waitin   pete x,101
that would be great well be at the guild could meet on bristol road or somewhere  will get in touch over weekend our plans take flight have a good week,151
no problem how are you doing,28
no callsmessagesmissed calls,28
hi dahow is the todays class,28
id say thats a good sign but well you know my track record at reading women,75
cool text me when youre parked,30
im reading the text i just sent you its meant to be a joke so read it in that light,83
kkapo kgood movie,17
maybe i could get book out tomo then return it immediately  or something,72
any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employers paperwork not cool at all please do not contact me again or i will report you to your supervisor,228
tadaaaaa i am home babe are you still up ,41
cool so how come you havent been wined and dined before,55
just sleepingand surfing,24
sorry ill call later,20
u calling me right call my hand phone,37
ok thats great thanx a lot,26
i take it the post has come then you must have s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him,143
where u been hiding stranger,28
am not interested to do like that,33
my sister cleared two round in birla soft yesterday,51
gudnitetcpractice going on,26
dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num,81
one small prestige problem now,30
just checking in on you really do miss seeing jeremiah do have a great month,76
nah cant help you there ive never had an iphone,47
if youre not in my car in an hour and a half im going apeshit,61
today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault im basically good,141
yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed,128
ltgt ish minutes was  minutes ago wtf,37
thank you for callingforgot to say happy onam to you sirjii am fine here and remembered you when i met an insurance personmeet you in qatar insha allahrakhesh ex tata aig who joined tisscotayseer,195
im an actor when i work i work in the evening and sleep late since im unemployed at the moment i always sleep late when youre unemployed every day is saturday,158
hello just got here st andrewsboy its a long way its cold i will keep you posted,80
ha ha cool cool chikku chikkudb,31
oh ok no prob,13
check audreys status right now,30
busy here trying to finish for new year i am looking forward to finally meeting you,83
good afternoon sunshine how dawns that day  are we refreshed and happy to be alive do we breathe in the air and smile  i think of you my love  as always,152
well i know z will take care of me so no worries,48
wat uniform in where get,24
cool text me when youre ready,29
hello my boytoy  geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you ,120
i will spoil you in bed as well ,32
im going for bath will msg you next  ltgt  min,46
i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay,161
can you say what happen,23
you could have seen mei didt recognise you face,47
well theres not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going,128
keep my payasam there if rinu brings,36
i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me,138
i guess thats why you re worried you must know that theres a way the body repairs itself and im quite sure you shouldnt worry well take it slow first the tests they will guide when your ovulation is then just relax nothing youve said is a reason to worry but ill keep on followin you up,286
yeah sure give me a couple minutes to track down my wallet,58
hey leave it not a big deal take care,37
hey i will be late ah meet you at ,34
it took mr owl  licks,21
customer place i will call you,30
mm that time you dont like fun,30
yup having my lunch buffet now u eat already,44
huh so late fr dinner,21
hey so this sat are we going for the intro pilates only or the kickboxing too ,78
morning only i can ok,21
yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down,113
pick you up bout ish what time are  and that going,50
from here after the performance award is calculated every two monthnot for current one month period,99
was actually sleeping and still might when u call back so a text is gr you rock sis will send u a text wen i wake,113
you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people ive ever met why would i think a picture of your room would hurt you make you feel violated,215
good evening sir al salam wahleykkumsharing a happy newsby the grace of god i got an offer from tayseertissco and i joinedhope you are fineinshah allahmeet you sometimerakheshvisitor from india,193
hmmmkbut i want to change the field quickly dai wanna get system administrator or network administrator,103
dear how is chechi did you talk to her,38
the hair cream has not been shipped,35
none of thats happening til you get here though,47
yep the great loxahatchee xmas tree burning of  ltgt  starts in an hour,71
haha get used to driving to usf man i know a lot of stoners,59
all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as cant stay late tomorrow same time  place as always,162
hello good week fancy a drink or something later,48
headin towards busetop,22
messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom,143
come by our room at some point so we can iron out the plan for this weekend,75
cos i want it to be your thing,30
okies ill go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah ,83
bring home some wendy d,23
whatsup there dont u want to sleep,34
alright i have a new goal now,29
alright ill head out in a few minutes text me where to meet you,63
yesfrom last week itself im taking live call,44
siva is in hostel aha,21
send this to ur friends and receive something about ur voice how is my speaking expression childish naughty sentiment rowdy ful of attitude romantic shy attractive funny  ltgt irritating  ltgt lovable reply me,209
ok shell be ok i guess,22
aathiwhere are you dear,23
any pain on urination any thing else,36
 at esplanade do м mind giving me a lift cos i got no car today,63
i wnt to buy a bmw car urgentlyits vry urgentbut hv a shortage of  ltgt lacsthere is no source to arng dis amt ltgt lacsthats my prob,133
at home watching tv lor,23
does she usually take fifteen fucking minutes to respond to a yes or no question,80
booked ticket for pongal,24
you available now im like right around hillsborough amp  ltgt th,64
the message sent is askin for  ltgt dollars shoul i pay  ltgt  or  ltgt ,72
ask g or iouri ive told the story like ten times already,56
how long does applebees fucking take,36
hi hope u get this txtjourney hasnt been gdnow about  mins late i think,71
but i have to i like to have love and arrange,45
yeshe is really greatbhaji told kallis best cricketer after sachin in worldvery tough to get out,96
you were supposed to wake me up gt,34
oic i saw him too but i tot he din c me i found a group liao,60
sorry ill call later,20
hey hey werethe monkeespeople say we monkeyaround howdy gorgeous,64
sorry my battery died i can come by but im only getting a gram for now wheres your place,88
well done blimey exercise yeah i kinda remember wot that is hmm ,64
i wont get concentration dear you know you are my mind and everything ,70
lol  have you made plans for new years,38
 min later k,12
hanks lotsly,12
thanks for this hope you had a good day today,45
kkwhat are detail you want to transferacc no enough,51
ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month,103
si si i think ill go make those oreo truffles,45
look at amy ure a beautiful intelligent woman and i like u a lot i know u donехt like me like that so donехt worry,114
i hope you thats the result of being consistently intelligent and kind start asking him about practicum links and keep your ears open and all the best ttyl,155
 that call cost which i guess isnt bad miss ya need ya want ya love ya,70
going thru a very different feelingwavering decisions and coping up with the same is the same individualtime will heal everything i believe,139
where did u go my phone is gonna die you have to stay in here,61
great never been better each day gives even more reasons to thank god,69
sorry ill call later ok bye,27
ok i am on the way to railway,29
great princess i love giving and receiving oral doggy style is my fave position how about you i enjoy making love  ltgt  times per night ,137
they dont put that stuff on the roads to keep it from getting slippery over there,81
when are you going to ride your bike,36
yup no need ill jus wait  e rain  stop,38
there are many company tell me the language,43
how long has it been since you screamed princess,48
nothing i meant that once the money enters your account here the bank will remove its flat rate someone transfered  ltgt  to my account and  ltgt dollars got removed so the banks differ and charges also differbe sure you trust the ja person you are sending account details to cos,279
nice line said by a broken heart plz dont cum  more times infront of me other wise once again i ll trust u good t,113
ok im gonna head up to usf in like fifteen minutes,50
love you aathilove u lot,24
tension ahwhat machiany problem,31
k can i pick up another th when youre done,42
whenre you guys getting back g said you were thinking about not staying for mcr,79
almost there see u in a sec,27
yo carlos a few friends are already asking me about you you working at all this weekend,87
watching tv lor,15
thank you baby i cant wait to taste the real thing,50
you should change your fb to jaykwon thuglyfe falconerf,55
if we win its really no  side for long time,43
dear reached railway what happen to you,39
depends on quality if you want the type i sent boye faded glory then about  if you want ralphs maybe ,101
i think ive fixed it can you send a test message,48
sorry man my accounts dry or i would if you want we could trade back half or i could buy some shit with my credit card,118
sorryin meeting ill call later,30
what class of  ltgt  reunion,28
are you free nowcan i call now,30
got meh when,12
nope think i will go for it on monday sorry i replied so late,61
some of them told accenture is not confirm is it true,53
kate jackson rec center before ish right,40
dear i have reache room,23
fighting with the world is easy u either win or lose bt fightng with some who is close to u is dificult if u lose  u lose if u win  u still lose,144
when can м come out,19
check with nuerologist,22
lolnice i went from a fish to water,35
no its waiting in e car dats bored wat cos wait outside got nothing  do at home can do my stuff or watch tv wat,111
maybe westshore or hyde park village the place near my house,60
you should know now so hows anthony are you bringing money ive school fees to pay and rent and stuff like that thats why i need your help a friend in need,154
whats the significance,22
your opinion about me  over  jada  kusruthi  lovable  silent  spl character  not matured  stylish  simple pls reply,115
 at the latest gs still there if you can scrounge up some ammo and want to give the new ak a try,96
prabhaim sorydarealyfrm heart im sory,37
lol ok your forgiven ,21
nojst change tat only,21
sno competition for him,23
that way transport is less problematic than on sat night by the way if u want to ask  n  to join my bday feel free but need to know definite nos as booking on fri ,163
usually the person is unconscious thats in children but in adults they may just behave abnormally ill call you now,114
but thats on ebay it might be less elsewhere,44
shall i come to get pickle,26
were gonna go get some tacos,28
thats very rude you on campus,29
hi i wont b ard  christmas but do enjoy n merry xmas,52
yes how is a pretty lady like you single,40
jay says that youre a doublefaggot,34
what todaysundaysunday is holidayso no work,43
gudnitetcpractice going on,26
ill be late,11
ive not called you in a while this is hoping it was lr malaria and that you know that we miss you guys i miss bani big so pls give her my love especially have a great day,170
good afternoon my love how goes that day  i hope maybe you got some leads on a job i think of you boytoy and send you a passionate kiss from across the sea,155
probably gonna be here for a while see you later tonight lt,59
or maybe my fat fingers just press all these buttons and it doesnt know what to do,82
ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear,82
i am in tirupur da once you started from office call me,55
a famous quote  when you develop the ability to listen to anything unconditionally without losing your temper or self confidence it means you are  married,154
but am going to college pa what to do are else ill come there it self pa,72
 oclock at mine just to bash out a flat plan,44
this girl does not stay in bed this girl doesnt need recovery time id rather pass out while having fun then be cooped up in bed,127
then any special there,22
i know but you need to get hotel now i just got my invitation but i had to apologise cali is to sweet for me to come to some english blokes weddin,146
sorry that took so long omw now,31
wait  ltgt  min,15
ok give me  minutes i think i see her btw youre my alibi you were cutting my hair the whole time,96
imagine you finally get to sink into that bath after i have put you through your paces maybe even having you eat me for a while before i left  but also imagine the feel of that cage on your cock surrounded by the bath water reminding you always who owns you  enjoy my cuck,272
hurry up ive been weeddeficient for like three days,51
sure if i get an acknowledgement from you that its astoundingly tactless and generally faggy to demand a blood oath fo,118
ok every night take a warm bath drink a cup of milk and youll see a work of magic you still need to loose weight just so that you know,134
iычll have a look at the frying pan in case itычs cheap or a book perhaps no thatычs silly a frying pan isnычt likely to be a book,130
o well uv causes mutations sunscreen is like essential thesedays,64
having lunchyou are not in onlinewhy,36
i know that my friend already told that,39
hi princess thank you for the pics you are very pretty how are you,66
aiyo u always c our ex one i dunno abt mei she haven reply first time u reply so fast y so lucky not workin huh got bao by ur sugardad ahgee ,141
hi msg meim in office,21
thanx  e brownie its v nice,27
geeeee  i love you so much i can barely stand it,48
fuck babe  i miss you already you know  cant you let me send you some money towards your net  i need you  i want you  i crave you ,130
ill call u mrw at ninish with my address that icky american freek wont stop callin me  bad jen k eh,99
oooh bed ridden ey what are you thinking of,43
so anyways you can just go to your gym or whatever my love smiles i hope your ok and having a good day babe  i miss you so much already,135
love it daddy will make you scream with pleasure i am going to slap your ass with my dick,89
wot u wanna do then missy,25
yar lor wait  my mum  finish sch then have lunch lor i whole morning stay at home clean my room now my room quite clean hee,123
do you know where my lab goggles went,37
can you open the door,21
waiting for your call,21
nope i waiting in sch  daddy ,29
im tired of arguing with you about this week after week do what you want and from now on ill do the same,104
мп wait  me in sch i finish ard ,32
arngd marriage is while u r walkin unfortuntly a snake bites u bt love marriage is dancing in frnt of d snake amp sayin bite me bite me,135
huh so early then м having dinner outside izzit,47
ok anyway no need to change with what you said,46
my exwife was not able to have kids do you want kids one day,60
so hows scotland hope you are not over showing your jjc tendencies take care live the dream,91
tell them u have a headache and just want to use  hour of sick time,67
i dun thk ill quit yet hmmm can go jazz  yogasana oso can we can go meet em after our lessons den ,98
pete can you please ring meive hardly gotany credit,51
ya srsly better than yi tho,27
im in a meeting call me later at,32
you still at grand prix,23
i met you as a stranger and choose you as my friend as long as the world stands our friendship never ends lets be friends forever gud nitz,138
i am great how are you,22
gud mrng dear have a nice day,29
will do was exhausted on train this morning too much wine and pie you sleep well too,84
im going out to buy mums present ar,35
mind blastin no more tsunamis will occur from now on rajnikant stopped swimming in indian oceand,96
if u sending her home first its ok lor im not ready yet,55
speaking of does he have any cash yet,37
be happy there i will come after noon,37
meet after lunch la,19
take care n get well soon,25
what i meant to say is cant wait to see u again getting bored of this bridgwater banter,87
neva mind its ok,16
its fine imma get a drink or somethin want me to come find you,62
its a valentine game   send dis msg to all ur friends  if  answers r d same then someone really loves u ques which colour suits me the bestrply me,146
i have many dependents,22
thanx today cer it was nice  catch up but we ave  find more time more often oh well take care c u soonc,103
i called and said all to himthen he have to choose this future,62
happy valentines day i know its early but i have hundreds of handsomes and beauties to wish so i thought to finish off aunties and uncles st,140
he like not v shock leh cos telling shuhui is like telling leona also like dat almost all know liao he got ask me abt ur reaction lor,133
for my family happiness,23
i come n pick м up come out immediately aft ur lesson,53
let there be snow let there be snow this kind of weather brings ppl together so friendships can grow,100
dear we got  ltgt  dollars hi hi,32
good words but words may leave u in dismay many times,53
make sure alex knows his birthday is over in fifteen minutes as far as youre concerned,86
sorry no have got few things to do may be in pub later,54
nah its straight if you can just bring bud or drinks or something thats actually a little more useful than straight cash,120
haha good to hear im officially paid and on the market for an th,64
how many licks does it take to get to the center of a tootsie pop,65
yup i thk they r e teacher said that will make my face look longer darren ask me not  cut too short,99
please dont say like that hi hi hi,34
thank u,7
oh that was a forwarded message i thought you send that to me,61
got it seventeen pounds for seven hundred ml ыт hope ok,55
me n him so funny,17
sweetheart hope you are not having that kind of day have one with loads of reasons to smile biola,97
when м login dat time dad fetching м home now,45
what will we do in the shower baby,34
i had askd u a question some hours before its answer,52
well imma definitely need to restock before thanksgiving ill let you know when im out,85
 said kiss kiss i cant do the sound effects he is a gorgeous man isnt he kind of person who needs a smile to brighten his day ,126
probably gonna swing by in a wee bit,36
ya very nice  be ready on thursday,34
allo we have braved the buses and taken on the trains and triumphed i mean weычre in bычham have a jolly good rest of week,122
watching cartoon listening music amp at eve had to go temple amp church what about u,84
do you mind if i ask what happened you dont have to say if it is uncomfortable,78
no prob i will send to your email,33
thats cool sometimes slow and gentle sonetimes rough and hard ,62
